Time,Date,East
13:59:41,16-09-2022,-0.08699999999953434
14:59:41,16-09-2022,-0.06799999999930151
15:59:41,16-09-2022,-0.06900000000314321
16:59:41,16-09-2022,-0.06600000000617001
04:59:41,18-11-2022,-0.05700000000069849
05:59:41,18-11-2022,-0.05899999999382999
06:59:41,18-11-2022,-0.05000000000291038
07:59:41,18-11-2022,-0.05000000000291038
08:59:41,18-11-2022,-0.052999999999883585
09:59:41,18-11-2022,-0.04700000000593718
10:59:41,18-11-2022,-0.07399999999324791
11:59:41,18-11-2022,-0.08100000000558794
12:59:41,18-11-2022,-0.04200000000128057
13:59:41,18-11-2022,-0.05400000000372529
14:59:41,18-11-2022,-0.04700000000593718
15:59:41,18-11-2022,-0.04899999999906868
16:59:41,18-11-2022,-0.05700000000069849
17:59:41,18-11-2022,-0.05700000000069849
18:59:41,18-11-2022,-0.0580000000045402
19:59:41,18-11-2022,-0.05700000000069849
20:59:41,18-11-2022,-0.05899999999382999
21:59:41,18-11-2022,-0.0580000000045402
22:59:41,18-11-2022,-0.059999999997671694
23:59:41,18-11-2022,-0.05100000000675209
00:59:41,19-11-2022,-0.05199999999604188
01:59:41,19-11-2022,-0.05499999999301508
02:59:41,19-11-2022,-0.05899999999382999
03:59:41,19-11-2022,-0.05499999999301508
04:59:41,19-11-2022,-0.05700000000069849
04:59:41,24-12-2022,-0.04899999999906868
05:59:41,24-12-2022,-0.05000000000291038
06:59:41,24-12-2022,-0.04799999999522697
07:59:41,24-12-2022,-0.04799999999522697
08:59:41,24-12-2022,-0.05700000000069849
09:59:41,24-12-2022,-0.04700000000593718
10:59:41,24-12-2022,-0.05199999999604188
11:59:41,24-12-2022,-0.052999999999883585
12:59:41,24-12-2022,-0.05400000000372529
13:59:41,24-12-2022,-0.05100000000675209
14:59:41,24-12-2022,-0.05199999999604188
15:59:41,24-12-2022,-0.05000000000291038
16:59:41,24-12-2022,-0.052999999999883585
17:59:41,24-12-2022,-0.04899999999906868
18:59:41,24-12-2022,-0.05100000000675209
19:59:41,24-12-2022,-0.04899999999906868
20:59:41,24-12-2022,-0.05499999999301508
21:59:41,24-12-2022,-0.05100000000675209
22:59:41,24-12-2022,-0.04899999999906868
23:59:41,24-12-2022,-0.05499999999301508
00:59:41,25-12-2022,-0.05400000000372529
01:59:41,25-12-2022,-0.05199999999604188
02:59:41,25-12-2022,-0.052999999999883585
03:59:41,25-12-2022,-0.05100000000675209
04:59:41,25-12-2022,-0.04799999999522697
12:59:41,26-10-2022,-0.062000000005355105
13:59:41,26-10-2022,-0.05899999999382999
14:59:41,26-10-2022,-0.05899999999382999
15:59:41,26-10-2022,-0.05400000000372529
16:59:41,26-10-2022,-0.062000000005355105
17:59:41,26-10-2022,-0.05899999999382999
18:59:41,26-10-2022,-0.0610000000015134
19:59:41,26-10-2022,-0.0610000000015134
20:59:41,26-10-2022,-0.0610000000015134
21:59:41,26-10-2022,-0.0639999999984866
22:59:41,26-10-2022,-0.0629999999946449
23:59:41,26-10-2022,-0.06600000000617001
00:59:41,27-10-2022,-0.06799999999930151
01:59:41,27-10-2022,-0.06600000000617001
02:59:41,27-10-2022,-0.0639999999984866
03:59:41,27-10-2022,-0.06799999999930151
04:59:41,27-10-2022,-0.062000000005355105
05:59:41,27-10-2022,-0.05899999999382999
06:59:41,27-10-2022,-0.062000000005355105
10:59:41,30-10-2022,-0.0580000000045402
11:59:41,30-10-2022,-0.05499999999301508
12:59:41,30-10-2022,-0.062000000005355105
13:59:41,30-10-2022,-0.05899999999382999
14:59:41,30-10-2022,-0.05899999999382999
15:59:41,30-10-2022,-0.059999999997671694
16:59:41,30-10-2022,-0.0610000000015134
17:59:41,30-10-2022,-0.05499999999301508
18:59:41,30-10-2022,-0.0610000000015134
19:59:41,30-10-2022,-0.0610000000015134
20:59:41,30-10-2022,-0.05700000000069849
21:59:41,30-10-2022,-0.0639999999984866
22:59:41,30-10-2022,-0.0610000000015134
23:59:41,30-10-2022,-0.062000000005355105
00:59:41,31-10-2022,-0.0639999999984866
01:59:41,31-10-2022,-0.0610000000015134
02:59:41,31-10-2022,-0.05899999999382999
03:59:41,31-10-2022,-0.062000000005355105
04:59:41,31-10-2022,-0.0629999999946449
05:59:41,31-10-2022,-0.055999999996856786
06:59:41,31-10-2022,-0.0580000000045402
07:59:41,31-10-2022,-0.0639999999984866
08:59:41,31-10-2022,-0.0580000000045402
09:59:41,31-10-2022,-0.05700000000069849
10:59:41,31-10-2022,-0.05700000000069849
10:59:41,24-11-2022,-0.05700000000069849
11:59:41,24-11-2022,-0.05199999999604188
12:59:41,24-11-2022,-0.052999999999883585
13:59:41,24-11-2022,-0.05499999999301508
14:59:41,24-11-2022,-0.05499999999301508
15:59:41,24-11-2022,-0.05100000000675209
16:59:41,24-11-2022,-0.0580000000045402
17:59:41,24-11-2022,-0.055999999996856786
18:59:41,24-11-2022,-0.05499999999301508
19:59:41,24-11-2022,-0.0580000000045402
20:59:41,24-11-2022,-0.05400000000372529
21:59:41,24-11-2022,-0.05199999999604188
22:59:41,24-11-2022,-0.05700000000069849
23:59:41,24-11-2022,-0.05400000000372529
00:59:41,25-11-2022,-0.05100000000675209
01:59:41,25-11-2022,-0.05899999999382999
02:59:41,25-11-2022,-0.05400000000372529
03:59:41,25-11-2022,-0.052999999999883585
04:59:41,25-11-2022,-0.0580000000045402
05:59:41,25-11-2022,-0.055999999996856786
06:59:41,25-11-2022,-0.05199999999604188
07:59:41,25-11-2022,-0.04799999999522697
08:59:41,25-11-2022,-0.05499999999301508
09:59:41,25-11-2022,-0.052999999999883585
10:59:41,25-11-2022,-0.04499999999825377
11:59:41,19-08-2022,-0.07899999999790452
12:59:41,19-08-2022,-0.06799999999930151
13:59:41,19-08-2022,-0.06799999999930151
14:59:41,19-08-2022,-0.0650000000023283
15:59:41,19-08-2022,-0.0610000000015134
16:59:41,19-08-2022,-0.07099999999627471
17:59:41,19-08-2022,-0.07200000000011642
18:59:41,19-08-2022,-0.0629999999946449
19:59:41,19-08-2022,-0.06600000000617001
20:59:41,19-08-2022,-0.027000000001862645
21:59:41,19-08-2022,-0.08199999999487773
22:59:41,19-08-2022,-0.06900000000314321
23:59:41,19-08-2022,-0.08400000000256114
00:59:41,20-08-2022,-0.07600000000093132
01:59:41,20-08-2022,-0.0639999999984866
02:59:41,20-08-2022,-0.07499999999708962
03:59:41,20-08-2022,-0.07499999999708962
04:59:41,20-08-2022,-0.07300000000395812
05:59:41,20-08-2022,-0.06799999999930151
06:59:41,20-08-2022,-0.0639999999984866
07:59:41,20-08-2022,-0.0610000000015134
08:59:41,20-08-2022,-0.0650000000023283
09:59:41,20-08-2022,-0.05700000000069849
10:59:41,20-08-2022,-0.062000000005355105
11:59:41,20-08-2022,-0.06799999999930151
00:59:41,10-06-2022,-0.07399999999324791
01:59:41,10-06-2022,-0.0629999999946449
02:59:41,10-06-2022,-0.07200000000011642
03:59:41,10-06-2022,-0.062000000005355105
04:59:41,10-06-2022,-0.07700000000477303
05:59:41,10-06-2022,-0.07000000000698492
06:59:41,10-06-2022,-0.06900000000314321
07:59:41,15-08-2022,-0.07200000000011642
08:59:41,15-08-2022,-0.07000000000698492
09:59:41,15-08-2022,-0.0610000000015134
10:59:41,15-08-2022,-0.05700000000069849
11:59:41,15-08-2022,-0.05400000000372529
12:59:41,15-08-2022,-0.059999999997671694
13:59:41,15-08-2022,-0.0669999999954598
14:59:41,15-08-2022,-0.07000000000698492
15:59:41,15-08-2022,-0.07799999999406282
16:59:41,15-08-2022,-0.0610000000015134
17:59:41,15-08-2022,-0.059999999997671694
18:59:41,15-08-2022,-0.059999999997671694
19:59:41,15-08-2022,-0.06799999999930151
20:59:41,15-08-2022,-0.059999999997671694
21:59:41,15-08-2022,-0.06900000000314321
22:59:41,15-08-2022,-0.0639999999984866
23:59:41,15-08-2022,-0.06799999999930151
00:59:41,16-08-2022,-0.06900000000314321
01:59:41,16-08-2022,-0.05000000000291038
02:59:41,16-08-2022,-0.06600000000617001
03:59:41,16-08-2022,-0.06600000000617001
04:59:41,16-08-2022,-0.06900000000314321
05:59:41,16-08-2022,-0.07200000000011642
06:59:41,16-08-2022,-0.06900000000314321
07:59:41,16-08-2022,-0.07000000000698492
03:59:41,05-10-2022,-0.0650000000023283
04:59:41,05-10-2022,-0.06600000000617001
05:59:41,05-10-2022,-0.06600000000617001
07:59:41,05-10-2022,-0.0610000000015134
08:59:41,05-10-2022,-0.0629999999946449
09:59:41,05-10-2022,-0.0580000000045402
10:59:41,05-10-2022,-0.0610000000015134
11:59:41,05-10-2022,-0.0639999999984866
12:59:41,05-10-2022,-0.059999999997671694
13:59:41,05-10-2022,-0.052999999999883585
14:59:41,05-10-2022,-0.0610000000015134
15:59:41,05-10-2022,-0.05700000000069849
16:59:41,05-10-2022,-0.0610000000015134
17:59:41,05-10-2022,-0.07000000000698492
18:59:41,05-10-2022,-0.05499999999301508
19:59:41,05-10-2022,-0.05700000000069849
20:59:41,05-10-2022,-0.05700000000069849
21:59:41,05-10-2022,-0.055999999996856786
22:59:41,05-10-2022,-0.059999999997671694
23:59:41,05-10-2022,-0.06799999999930151
00:59:41,06-10-2022,-0.06600000000617001
01:59:41,06-10-2022,-0.059999999997671694
02:59:41,06-10-2022,-0.06900000000314321
03:59:41,06-10-2022,-0.06799999999930151
15:59:41,10-04-2022,-0.0629999999946449
16:59:41,10-04-2022,-0.07099999999627471
17:59:41,10-04-2022,-0.07700000000477303
18:59:41,10-04-2022,-0.07399999999324791
19:59:41,10-04-2022,-0.08900000000721775
20:59:41,10-04-2022,-0.09200000000419095
21:59:41,10-04-2022,-0.07700000000477303
22:59:41,10-04-2022,-0.07499999999708962
23:59:41,10-04-2022,-0.08299999999871943
00:59:41,11-04-2022,-0.07700000000477303
01:59:41,11-04-2022,-0.07600000000093132
02:59:41,11-04-2022,-0.07799999999406282
03:59:41,11-04-2022,-0.07799999999406282
04:59:41,11-04-2022,-0.07399999999324791
05:59:41,11-04-2022,-0.07600000000093132
06:59:41,11-04-2022,-0.08000000000174623
07:59:41,11-04-2022,-0.08299999999871943
08:59:41,11-04-2022,-0.08000000000174623
09:59:41,11-04-2022,-0.08100000000558794
10:59:41,11-04-2022,-0.07700000000477303
11:59:41,11-04-2022,-0.08299999999871943
12:59:41,11-04-2022,-0.08199999999487773
13:59:41,11-04-2022,-0.07700000000477303
14:59:41,11-04-2022,-0.07399999999324791
15:59:41,11-04-2022,-0.07700000000477303
11:59:41,13-10-2022,-0.0669999999954598
12:59:41,13-10-2022,-0.0610000000015134
13:59:41,13-10-2022,-0.07399999999324791
14:59:41,13-10-2022,-0.06900000000314321
15:59:41,13-10-2022,-0.052999999999883585
16:59:41,13-10-2022,-0.05899999999382999
17:59:41,13-10-2022,-0.07099999999627471
18:59:41,13-10-2022,-0.062000000005355105
19:59:41,13-10-2022,-0.06600000000617001
20:59:41,13-10-2022,-0.0650000000023283
21:59:41,13-10-2022,-0.0610000000015134
22:59:41,13-10-2022,-0.06600000000617001
23:59:41,13-10-2022,-0.0629999999946449
00:59:41,14-10-2022,-0.05899999999382999
01:59:41,14-10-2022,-0.0669999999954598
02:59:41,14-10-2022,-0.0610000000015134
03:59:41,14-10-2022,-0.059999999997671694
04:59:41,14-10-2022,-0.06600000000617001
05:59:41,14-10-2022,-0.06600000000617001
06:59:41,14-10-2022,-0.0629999999946449
07:59:41,14-10-2022,-0.07000000000698492
08:59:41,14-10-2022,-0.07300000000395812
09:59:41,14-10-2022,-0.06900000000314321
10:59:41,14-10-2022,-0.0580000000045402
11:59:41,14-10-2022,-0.0650000000023283
14:59:41,15-04-2022,-0.07799999999406282
15:59:41,15-04-2022,-0.07700000000477303
16:59:41,15-04-2022,-0.07899999999790452
17:59:41,15-04-2022,-0.07799999999406282
18:59:41,15-04-2022,-0.07799999999406282
19:59:41,15-04-2022,-0.07499999999708962
20:59:41,15-04-2022,-0.07899999999790452
21:59:41,15-04-2022,-0.07499999999708962
22:59:41,15-04-2022,-0.07300000000395812
23:59:41,15-04-2022,-0.07499999999708962
00:59:41,16-04-2022,-0.07300000000395812
01:59:41,16-04-2022,-0.07200000000011642
02:59:41,16-04-2022,-0.08000000000174623
03:59:41,16-04-2022,-0.07700000000477303
04:59:41,16-04-2022,-0.07700000000477303
05:59:41,16-04-2022,-0.08000000000174623
06:59:41,16-04-2022,-0.07600000000093132
07:59:41,16-04-2022,-0.07399999999324791
08:59:41,16-04-2022,-0.07099999999627471
09:59:41,16-04-2022,-0.07099999999627471
10:59:41,16-04-2022,-0.08199999999487773
11:59:41,16-04-2022,-0.07499999999708962
12:59:41,16-04-2022,-0.07499999999708962
13:59:41,16-04-2022,-0.07499999999708962
14:59:41,16-04-2022,-0.07799999999406282
17:59:41,25-05-2022,-0.06799999999930151
18:59:41,25-05-2022,-0.07200000000011642
19:59:41,25-05-2022,-0.06799999999930151
20:59:41,25-05-2022,-0.07499999999708962
21:59:41,25-05-2022,-0.07099999999627471
22:59:41,25-05-2022,-0.07200000000011642
23:59:41,25-05-2022,-0.0650000000023283
00:59:41,26-05-2022,-0.07300000000395812
01:59:41,26-05-2022,-0.07200000000011642
02:59:41,26-05-2022,-0.06600000000617001
03:59:41,26-05-2022,-0.0669999999954598
04:59:41,26-05-2022,-0.06799999999930151
05:59:41,26-05-2022,-0.08100000000558794
06:59:41,26-05-2022,-0.08000000000174623
07:59:41,26-05-2022,-0.07300000000395812
08:59:41,26-05-2022,-0.07099999999627471
09:59:41,26-05-2022,-0.07300000000395812
10:59:41,26-05-2022,-0.07099999999627471
11:59:41,26-05-2022,-0.07600000000093132
12:59:41,26-05-2022,-0.07499999999708962
13:59:41,26-05-2022,-0.06900000000314321
14:59:41,26-05-2022,-0.06900000000314321
15:59:41,26-05-2022,-0.07099999999627471
16:59:41,26-05-2022,-0.07300000000395812
17:59:41,26-05-2022,-0.08100000000558794
15:59:41,03-08-2022,-0.07000000000698492
16:59:41,03-08-2022,-0.0629999999946449
17:59:41,03-08-2022,-0.06900000000314321
18:59:41,03-08-2022,-0.07300000000395812
19:59:41,03-08-2022,-0.062000000005355105
20:59:41,03-08-2022,-0.07099999999627471
21:59:41,03-08-2022,-0.07000000000698492
22:59:41,03-08-2022,-0.0639999999984866
23:59:41,03-08-2022,-0.0629999999946449
00:59:41,04-08-2022,-0.07399999999324791
01:59:41,04-08-2022,-0.06600000000617001
02:59:41,04-08-2022,-0.0669999999954598
03:59:41,04-08-2022,-0.059999999997671694
04:59:41,04-08-2022,-0.0580000000045402
05:59:41,04-08-2022,-0.0629999999946449
06:59:41,04-08-2022,-0.06799999999930151
07:59:41,04-08-2022,-0.06600000000617001
08:59:41,04-08-2022,-0.0669999999954598
09:59:41,04-08-2022,-0.07200000000011642
10:59:41,04-08-2022,-0.06600000000617001
11:59:41,04-08-2022,-0.06600000000617001
12:59:41,04-08-2022,-0.07399999999324791
13:59:41,04-08-2022,-0.06799999999930151
14:59:41,04-08-2022,-0.0650000000023283
15:59:41,04-08-2022,-0.0639999999984866
13:59:41,26-04-2022,-0.07899999999790452
14:59:41,26-04-2022,-0.08000000000174623
15:59:41,26-04-2022,-0.07899999999790452
16:59:41,26-04-2022,-0.07499999999708962
17:59:41,26-04-2022,-0.07600000000093132
18:59:41,26-04-2022,-0.07799999999406282
19:59:41,26-04-2022,-0.08000000000174623
20:59:41,26-04-2022,-0.07600000000093132
21:59:41,26-04-2022,-0.07899999999790452
22:59:41,26-04-2022,-0.07899999999790452
23:59:41,26-04-2022,-0.07099999999627471
00:59:41,27-04-2022,-0.07499999999708962
01:59:41,27-04-2022,-0.07499999999708962
02:59:41,27-04-2022,-0.07499999999708962
03:59:41,27-04-2022,-0.07300000000395812
04:59:41,27-04-2022,-0.08000000000174623
05:59:41,27-04-2022,-0.07499999999708962
06:59:41,27-04-2022,-0.07600000000093132
07:59:41,27-04-2022,-0.07799999999406282
08:59:41,27-04-2022,-0.0650000000023283
09:59:41,27-04-2022,-0.08199999999487773
10:59:41,27-04-2022,-0.08500000000640284
11:59:41,27-04-2022,-0.07700000000477303
12:59:41,27-04-2022,-0.07700000000477303
13:59:41,27-04-2022,-0.07700000000477303
14:59:41,09-04-2022,-0.07799999999406282
15:59:41,09-04-2022,-0.07799999999406282
16:59:41,09-04-2022,-0.07899999999790452
17:59:41,09-04-2022,-0.08999999999650754
18:59:41,09-04-2022,-0.08100000000558794
19:59:41,09-04-2022,-0.07600000000093132
20:59:41,09-04-2022,-0.07700000000477303
21:59:41,09-04-2022,-0.08299999999871943
22:59:41,09-04-2022,-0.07899999999790452
23:59:41,09-04-2022,-0.08199999999487773
00:59:41,10-04-2022,-0.07600000000093132
01:59:41,10-04-2022,-0.07300000000395812
02:59:41,10-04-2022,-0.07700000000477303
03:59:41,10-04-2022,-0.07600000000093132
04:59:41,10-04-2022,-0.07300000000395812
05:59:41,10-04-2022,-0.08500000000640284
06:59:41,10-04-2022,-0.08100000000558794
07:59:41,10-04-2022,-0.059999999997671694
08:59:41,10-04-2022,-0.07399999999324791
09:59:41,10-04-2022,-0.07000000000698492
10:59:41,10-04-2022,-0.08199999999487773
11:59:41,10-04-2022,-0.07099999999627471
12:59:41,10-04-2022,-0.08699999999953434
13:59:41,10-04-2022,-0.07899999999790452
14:59:41,10-04-2022,-0.07700000000477303
17:59:41,11-07-2022,-0.07000000000698492
18:59:41,11-07-2022,-0.07499999999708962
19:59:41,11-07-2022,-0.07700000000477303
20:59:41,11-07-2022,-0.06799999999930151
21:59:41,11-07-2022,-0.06799999999930151
22:59:41,11-07-2022,-0.07000000000698492
23:59:41,11-07-2022,-0.0669999999954598
00:59:41,12-07-2022,-0.0650000000023283
01:59:41,12-07-2022,-0.06799999999930151
02:59:41,12-07-2022,-0.06900000000314321
03:59:41,12-07-2022,-0.06600000000617001
04:59:41,12-07-2022,-0.059999999997671694
05:59:41,12-07-2022,-0.05899999999382999
06:59:41,12-07-2022,-0.06600000000617001
07:59:41,12-07-2022,-0.0669999999954598
08:59:41,12-07-2022,-0.06600000000617001
09:59:41,12-07-2022,-0.05899999999382999
10:59:41,12-07-2022,-0.07700000000477303
11:59:41,12-07-2022,-0.06799999999930151
12:59:41,12-07-2022,-0.0669999999954598
13:59:41,12-07-2022,-0.07799999999406282
14:59:41,12-07-2022,-0.08100000000558794
15:59:41,12-07-2022,-0.0629999999946449
16:59:41,12-07-2022,-0.06799999999930151
17:59:41,12-07-2022,-0.0669999999954598
04:59:41,02-07-2022,-0.06600000000617001
05:59:41,02-07-2022,-0.0650000000023283
06:59:41,02-07-2022,-0.059999999997671694
07:59:41,02-07-2022,-0.07300000000395812
08:59:41,02-07-2022,-0.0650000000023283
09:59:41,02-07-2022,-0.0650000000023283
10:59:41,02-07-2022,-0.0669999999954598
11:59:41,02-07-2022,-0.07300000000395812
